PATRON#|Activity_Date|LOCATION|I_TYPE
1133198|10-06-2022|cscin|1
1402526|10-06-2022|cltf|1
1015555|10-06-2022|hxn|1
1073407|10-06-2022|msci|1
1073407|10-06-2022|mmyn|1
1080053|10-06-2022|cltf|1
1080053|10-06-2022|hltf|1
1202179|10-06-2022|hltfn|1
1202179|10-06-2022|hf|1
1338545|10-06-2022|cfn|1
1300597|10-06-2022|hjxn|1
1300597|10-06-2022|hjx|1
1411224|10-06-2022|cb|1
1378198|10-06-2022|cyaf|1
1306157|10-06-2022|cjzf|23
1306157|10-06-2022|mjf|1
1010060|10-06-2022|h3|30
1010060|10-06-2022|mpbmy|1
1321507|10-06-2022|hfn|1
1321507|10-06-2022|hf|1
1317823|10-06-2022|csci|1
1393348|10-06-2022|myafn|1
1424297|10-06-2022|hjzf|1
1424297|10-06-2022|hjzf|1
1424297|10-06-2022|hjf|1
1393155|10-06-2022|mf|1
1364583|10-06-2022|cltf|1
1364583|10-06-2022|cltf|1
1057999|10-06-2022|hfn|1
1426252|10-06-2022|cf|1
1426252|10-06-2022|cf|1
1426252|10-06-2022|c3|30
1426252|10-06-2022|cfn|1
1375340|10-06-2022|mltf|1
1402618|10-06-2022|hsf|4
1416244|10-06-2022|cjp|1
1364492|10-06-2022|mjp|1
1364492|10-06-2022|mejp|1
1364492|10-06-2022|mjp|1
1364492|10-06-2022|mjpbb|1
1364492|10-06-2022|mjp|1
1364492|10-06-2022|mjx|1
1364492|10-06-2022|mjp|1
1398950|10-06-2022|hjf|1
1414005|10-06-2022|hjx|1
1414005|10-06-2022|mjf|1
1414005|10-06-2022|mjp|1
1414005|10-06-2022|mjpn|1
1414005|10-06-2022|hjp|1
1414005|10-06-2022|mjp|1
1157065|10-06-2022|mmy|1
1157065|10-06-2022|mpbmy|1
1157065|10-06-2022|mmy|1
1414005|10-06-2022|mjf|1
1215213|10-06-2022|msci|1
1215213|10-06-2022|mfn|1
1215213|10-06-2022|mscin|1
1414007|10-06-2022|mjp|1
1414007|10-06-2022|mjp|1
1414007|10-06-2022|mjp|1
1414007|10-06-2022|mjp|1
1414007|10-06-2022|mjp|1
1414007|10-06-2022|mjp|1
1414007|10-06-2022|mjp|1
1414007|10-06-2022|mjp|1
1414007|10-06-2022|mjp|1
1424970|10-06-2022|hjb|1
1426253|10-06-2022|mf|1
1215213|10-06-2022|hjpbb|23
1215213|10-06-2022|hjpbb|23
1215213|10-06-2022|mjp|23
1215213|10-06-2022|mjpbb|1
1267199|10-06-2022|mmy|1
1267199|10-06-2022|mmy|1
1267199|10-06-2022|mpbmy|1
1377129|10-06-2022|hjf|1
1377129|10-06-2022|mjf|1
1377129|10-06-2022|mjf|1
1377129|10-06-2022|hjf|1
1377129|10-06-2022|hjf|1
1377129|10-06-2022|hjf|1
1377129|10-06-2022|hjf|1
1377129|10-06-2022|hjf|1
1377127|10-06-2022|hjf|1
1377127|10-06-2022|cjf|1
1377127|10-06-2022|hjfn|1
1377127|10-06-2022|hjpn|1
1377127|10-06-2022|hjfn|1
1377127|10-06-2022|hjpn|1
1377127|10-06-2022|hjpn|1
1377127|10-06-2022|hjpn|1
1377127|10-06-2022|hjpn|1
1375567|10-06-2022|mf|1
1377127|10-06-2022|hjp|1
1377127|10-06-2022|hjp|1
1053445|10-06-2022|hx|1
1053445|10-06-2022|cjf|1
1415567|10-06-2022|hf|1
1314038|10-06-2022|hjp|1
1314038|10-06-2022|cjp|1
1314038|10-06-2022|mjp|1
1314038|10-06-2022|cx|1
1314038|10-06-2022|cjp|1
1323900|10-06-2022|mjx|1
1323900|10-06-2022|hmyn|1
1323900|10-06-2022|mjx|1
1323900|10-06-2022|mjk|7
1323900|10-06-2022|mjpbb|1
1323900|10-06-2022|mjpbb|1
1018710|10-06-2022|hfn|1
1060767|10-06-2022|mfn|1
1195548|10-06-2022|cf|1
1195548|10-06-2022|cfn|1
1195548|10-06-2022|cmy|1
1393856|10-06-2022|cf|1
1336178|10-06-2022|hxn|1
1336178|10-06-2022|hsci|1
1393348|10-06-2022|cyaf|1
1393348|10-06-2022|myaf|1
1413051|10-06-2022|hjb|1
1322629|10-06-2022|hsf|4
1322629|10-06-2022|hsf|4
1322629|10-06-2022|cyaf|1
1058171|10-06-2022|hmyn|1
1335226|10-06-2022|cjf|1
1335226|10-06-2022|cjpn|1
1335226|10-06-2022|cjg|1
1335226|10-06-2022|cjp|1
1335226|10-06-2022|cjf|1
1132200|10-06-2022|cf|1
1361189|10-06-2022|cjpbb|1
1361189|10-06-2022|cjpbb|1
1361189|10-06-2022|cjpbb|1
1361189|10-06-2022|cjpbb|1
1361189|10-06-2022|cjpbb|1
1352430|10-06-2022|cx|1
1361189|10-06-2022|mjpbb|1
1361189|10-06-2022|cjpbb|23
1361189|10-06-2022|cjpbb|1
1361189|10-06-2022|mjpbb|1
1361189|10-06-2022|cjpbb|1
1361189|10-06-2022|cjpbb|1
1361189|10-06-2022|cjpbb|1
1317294|10-06-2022|hf|1
1317294|10-06-2022|hf|1
1317294|10-06-2022|hf|1
1415206|10-06-2022|cjpbb|1
1415206|10-06-2022|hjpbb|23
1415206|10-06-2022|cjpbb|1
1415206|10-06-2022|cjpbb|1
1415206|10-06-2022|cjpbb|1
1415206|10-06-2022|cjpbb|1
1415206|10-06-2022|cjpbb|1
1415206|10-06-2022|cjpbb|1
1415206|10-06-2022|cjpbb|1
1415206|10-06-2022|cjpbb|1
1415206|10-06-2022|cjpbb|23
1415206|10-06-2022|cjpbb|1
1415206|10-06-2022|cjpbb|1
1053626|10-06-2022|cfn|1
1053626|10-06-2022|cfn|1
1415206|10-06-2022|cjpbb|1
1415206|10-06-2022|cjp|1
1415206|10-06-2022|cjpbb|1
1415206|10-06-2022|cjpbb|1
1415206|10-06-2022|mjzf|1
1415206|10-06-2022|cjzf|1
1415206|10-06-2022|cjzf|1
1415206|10-06-2022|cjzf|1
1415206|10-06-2022|cjzf|1
1415206|10-06-2022|cjzf|1
1415206|10-06-2022|cjzf|1
1415206|10-06-2022|cjzx|1
1415206|10-06-2022|cjzf|1
1415206|10-06-2022|cjzf|1
1415206|10-06-2022|cjx|1
1415206|10-06-2022|hjzf|1
1415206|10-06-2022|cjzf|1
1415206|10-06-2022|cjzf|1
1415206|10-06-2022|cjzf|1
1415206|10-06-2022|cjzf|1
1415206|10-06-2022|cjzf|1
1415206|10-06-2022|mjzf|1
1415206|10-06-2022|cjzf|1
1415206|10-06-2022|cjf|1
1415206|10-06-2022|cjf|1
1010074|10-06-2022|mf|1
1010074|10-06-2022|mfn|1
1010074|10-06-2022|mfn|1
1010074|10-06-2022|cfn|1
1010074|10-06-2022|c3|30
1426257|10-06-2022|hf|1
1151131|10-06-2022|cve|29
1101532|10-06-2022|mf|1
1414036|10-06-2022|mrr|12
1058976|10-06-2022|mx|1
1058976|10-06-2022|mf|1
1315562|10-06-2022|cx|1
1315562|10-06-2022|cx|1
1315562|10-06-2022|cx|1
1315562|10-06-2022|cx|1
1426259|10-06-2022|mjmy|1
1426259|10-06-2022|mjx|1
1115135|10-06-2022|mfn|1
1188039|10-06-2022|mjve|22
1188039|10-06-2022|mjp|23
1250719|10-06-2022|c3|30
1306011|10-06-2022|mjpn|1
1306011|10-06-2022|mjg|1
1363792|10-06-2022|cfn|1
1406021|10-06-2022|mjzf|1
1406021|10-06-2022|cjzf|1
1406021|10-06-2022|mjzf|1
1406021|10-06-2022|cjpbb|1
1338521|10-06-2022|mmy|1
1338521|10-06-2022|mmy|1
1406021|10-06-2022|cjp|1
1406021|10-06-2022|cjp|1
1384583|10-06-2022|hjp|1
1384583|10-06-2022|mjk|7
1384583|10-06-2022|mjpbb|1
1406021|10-06-2022|cjp|1
1406021|10-06-2022|cjp|1
